Name,Address,Phone
Agape Chinese Christian Church at Fairfax Station,3616 Jermantown Rd,
Agape Chinese Christian Church,8006 Centreville Rd,(202) 780-5720
Agape Chinese Christ Church,2202 Jefferson Davis Hwy,(202) 908-9388
Agape Chinese Baptist,1500 Suther Rd,(973) 699-2308
Agape Chinese Baptist Church,1108 N 6th Street,(918) 258-7722
Agape Bible Fellowship,2560 N Main St,937-277-7591
Agape Bible Fellowship,220 Monee Rd,
Agape Bible Christian Fellowship,249 East Market Street,276-806-4078
Agape Baptist Church,4283 W Park Ave,
Agape Baptist Church,1300 US Hwy 41,
Agape Baptist Church,78 Dick Hayes Rd,(256) 574-5992
Agape Baptist Church,6829 Hwy 79 N,(205) 681-5683
Agape Baptist Church,39735 Chancey Rd,(813) 788-3330
Agape Baptist Church,3920 Alton Pl NW,202-966-2259
Agape Baptist Church,6200 NW 50th Ave,352-840-0186
Agape Baptist Church,1109 W 24th Ave,(229) 276-1038
Agape Baptist Church,27695 GA Highway 46 W,(912) 685-5168
Agape Baptist Church,198 New Cut Rd,(864) 449-1247
Agape Baptist Church,3455 Atlas St.,(619) 398-5516
Agape Baptist Church,3316 Roy Messer Highway,(865) 660-7709
Agape Baptist Church,2606 N Council Road,(405) 485-4300
Agape Baptist Church,9603 Braun Rd,210-521-6027
Agape Baptist Church,970 A St,(702) 726-3100
Agape Baptist Church,13220 156th Ave SE,(425) 440-8148
Agape Baptist Church,2354 Highway 41 S Ste P,(615) 384-3393
Agape All Nations Church,9515 BRIGGS ST,972-240-2946
Agape Baptist Church,8515 Greenville Ave,(469) 471-3836
Agape Baptist Church,220 E 20th St,307-778-6007
Afrika Community Church,8515 Greenville Ave # 14,214-780-6495
Afton Baptist Church,PO Box 54,806-291-8254
African Unity Fellowship,3425 Greenville Ave.,469-348-3643
African United Church,758 Hamilton St,
African International Baptist Church,2212 N Davis Dr,(682) 222-2864
African Fellowship Church,2043 Kingsbridge Drive,(214) 232-3797
African Evangelical Baptist Church,770 E WARRIOR TRL,972-263-1554
African Community Baptist Church,1510 E. Cornell St.,770-912-3227
African Ministry Church,5522 Whitman Avenue,
African Baptist Church,550 Garfield Ave,(816) 372-0898
African Baptist Church,5141 N 23rd Ave,(602) 422-4019
Africa Lighthouse Baptist Temple,3468 Gilbert Station Rd,434-760-5740
Afghan Christian Fellowship Church of Los Angeles,2526 Homestead RD,(714) 686-1765
Aetna Grove Baptist Church,2383 Aetna Grove Church Rd,(270) 299-6095
Afghan American Church,38451 Fremont Blvd,(916) 919-6181
Aenon,7503 Town Creek Rd,(252) 236-4791
Aenon Baptist Church,6073 Blountstown Hwy,(850) 576-6911
Ailey Baptist Church,327 S Broad St,
Aetna Union Baptist Church,5385 Bailey Rd,
Aiken Grove,2470 Sipsey Rd,(205) 706-8819
Aiken First Baptist Church,120 Chesterfield St N,803-648-5476
Akasvmkv Baptist Church,400 S Wewoka Avenue,(405) 257-3091
Ajo Calvary Baptist Church,740 W Rocalla Ave,(520) 387-6242
Airway Heights Baptist Church,12322 W Sunset Hwy,509-244-2474
Airway Baptist Church,4658 Airway Rd,937-253-1481
Airway Baptist Church,7806 Rowe Ln,713-991-2364
Airview Baptist Church,2301 Airport Rd,(334) 745-6670
Airport Gardens Baptist Church,32 Sumac Ave,(606) 731-6314
Airport Boulevard Baptist Church,6301 Airport Blvd,(251) 342-3280
Airport Baptist Church,2264 Highway 332,(662) 688-4238
Ahpeatone Baptist Church,RT.2,
Airport Baptist Church,1269 Boston Ave,803-794-9353
Ahoskie Church,500-504 Kiwanis St,
Ahloso First Baptist Church,17209 County Road 99 Dr,
Agua Viva Spanish Mission,1301 W Linebaugh Ave,(813) 872-1571
Ahava Baptist Church,6015 W Farkas Rd,(813) 737-3739
"Agua De Vida Baptist Church, El Paso",10061 Rushing Rd,(915) 479-8379
"Agua Dulce Baptist Church, Agua Dulce",1308 Longhorn Dr,361-998-2561
Agricola Baptist Church,7268 Barton Agricola Rd,601-947-2460
"Agios Baptist Community of Faith, International",9302 Old Keene Mill Rd Ste C,(703) 585-3246
Agape’ Baptist Church,25353 Walker South Rd,(225) 369-2000
Ages Baptist Church,150 Smith Avenue,
Agape Vietnamese,2633 Altamesa Blvd,
Agape Univision Baptist Church,424 SW 9th Ave,(561) 503-3924
Agape United Christian Fellowship,5413 COWDEN ST,
Agape Praise International Ministries,"FBC, Essex 911 Mace Avenue",443-447-7048
Agape Outpost Baptist Chapel,15404 Highway 9,970-453-1247
Agape Nepali Baptist Church,5200 Far Hills Ave.,(937) 750-9852
"Airline Manor Baptist Church, Houston",610 E Parker Rd,713-695-1427
Agape Myanmar Mission,4747 College Ave,(619) 279-6376
Airport Baptist Church,776 S Batesville Rd,(864) 738-4729
Airline Baptist Church,4007 Airline Dr,(318) 746-3495
Airline Baptist Church,1942 Clay Street,(270) 826-3978
Airline Baptist Church,421 N Lester Ave,(504) 737-7921
Air Park Baptist Church,521 N Orange St,(904) 964-8358
Airline Baptist Church,200 NE County Rd 354,(386) 294-2676
Air View Baptist Church,184 Cabbage Patch Rd,(931) 808-9859
Air Line Baptist Church,3368 White Sulphur Rd,(770) 534-5682
Ainsworth Baptist Church,G-5114 Van Slyke Rd,810-407-6452
Aimwell Baptist Church,2770 County Road 17,(000) 000-0000
Aina Haina Baptist Church,615 Hind Iuka Dr,808-373-1607
Aimwell Baptist Church,1892 Highway 1215,(318) 645-9955
Aimwell Baptist Church,3592 Webb Camp Rd,(318) 992-6031
Alamo Heights Baptist Church,6501 Broadway St,210-824-9539
Alamo Heights Baptist Church,110 Trinity Shores Dr.,361-552-2532
Alamo Heights Baptist Church,1305 N Midland Dr,432-697-3101
Alamo First Baptist Church,33 W Lucille Ave,(912) 568-7432
Alamo First Baptist Church,2400 Highway 88 S,(731) 696-2555
Alamo Community Church Downtown,525 S Saint Marys St,(361) 876-7352
Alamo Community Church,5354 Talley Rd,(210) 253-2646
Alamo Baptist Church,5713 Alamo Church Rd,(731) 414-4566
Alamo City Christian Fellowship Church,PO Box 39910,210-654-7880
Alameda Baptist Church,8818 2nd St NW,505-898-2625
Alameda Immanuel Church Inc.,2133 Central Ave,(510) 390-4155
Alameda Baptist Church,3100 Central Ave,(510) 522-2363
Alameda Baptist Church,1503 East Alameda Street,(405) 329-5157
Alamance Baptist Church,117 County Road 4667,903-795-3455
Alachua First Baptist Church,14005 NW 146th Ave,(386) 462-1337
Alafia Baptist Church,222 Alafia Church Rd,(813) 634-8845
Alabanza Evangelical Baptist Church Inc.,11500 NW 12 Ave,(786) 285-1181
Alabama Baptist Church,16061 Highway 151,(512) 423-8292
Alafia Baptist Church,3623 Eastern Ave,301-985-3090
Akron Hmong Baptist Mission,5191 Waterloo Rd,(330) 206-1208
Akron Baptist Church,3690 4th Ave S,(334) 624-6993
Akin Missionary Baptist Church,22054 Black St,
Alder Branch Baptist Church,809 Alder Branch Rd,(865) 453-4594
Akersville Baptist Church,6868 Akersville Rd,(615) 633-6805
Alcovy Mountain Baptist Church,2680 H D Atha Rd,(770) 267-8602
Alcova Community Church,21925 S. Kortes Rd.,307-472-0460
Alcoa First Baptist Church,819 Gilbert St,(865) 982-2661
Alco Baptist Church,102 Fleming Lane,(251) 867-6643
Albuquerque’s First Baptist Church,4101 Paseo Del Norte Blvd NW,505-247-3611
Albuquerque Deaf Baptist Church,9212 Trumbull Ave.,
Albuquerque Chinese Baptist Church,2721 Arizona NE,
Albion,131 Big Sky Trl,(336) 351-2718
Albertson Missionary Baptist Church,3736 NC Hwy 903 N,(252) 568-1110
Alberton New Life Baptist Assembly,3752 Highway 134,(334) 565-3260
Alberta,2210 University Blvd E,(205) 553-6520
Alberton Baptist Church,3633 Highway 134,(334) 565-3002
Alberene Baptist Church,2728 Plank Rd,(434) 962-3201
Albemarle First,202 N 2nd St,(704) 982-2111
Albany Baptist Church,Utica & Johnson Streets,(580) 924-8818
Albany Living Hope Church,1221 Marin Ave,(707) 665-0778
Alaska Iu-Mienh First Baptist Church,4301 Mt View Dr,907-338-7863
Alarka,3407 Alarka Rd,(828) 586-2779
"Alas De Aguila Baptist Church, Fort Worth",5440 W Bailey Boswell Rd,(985) 500-9127
Alapaha Baptist Church,22308 Main St,(229) 532-5745
Alanthus Hill Baptist Church,14129 Alanthus Hill Rd,(865) 585-0264
Alanreed Baptist Church,PO Box 74,
Alexander Baptist Church,4316 Pamela Court,757-405-5572
Alexander Baptist Church,4366 Highway 139,(870) 240-0003
Alana Lane Baptist Church,311 Alana Ln,281-292-6770
Alexander,1 Fletcher Martin Rd,(828) 667-3064
Aletheia Gainesville,9818 SW 24th Ave,(352) 325-1220
Aletheia Tampa,17400 Commerce Park Blvd Liberty Middle School,
Aletheia College Park,5101 Pierce Ave,
Aletheia Fellowship,4603 Old Randleman Rd,(336) 706-2960
Aletheia Church (Harrisonburg),801 Parkwood Dr,540-217-0131
Aletheia Church,1090 W State Route 89A,(928) 282-7405
Aletheia Church,7816 Madison Avenue,317-881-8485
Aletheia Church,8378 Blackmon Rd,(706) 426-3075
Aletheia Chinese Christian Church,3215 Oak Meadow Ln,
Aletheia Baptist Fellowship,909 Grider Rd,(931) 858-4888
Aldridge Community Baptist Church,45 Vining Rd.,(205) 686-7400
Aletheia Baptist Church,1711 Oglesby Pl,(478) 745-4342
Aldrich First Baptist Church,1164 County Road 10,
Alder Springs Baptist Church,PO Box 1752,
Alder Springs Baptist Church,604 Alder Springs Rd,
Alder Springs Baptist Church,708 Hickory Star Rd,
Alder Street Baptist Church,1010 Alder Street,(360) 209-4310
All Nations Fellowship,5146 S Country Club Rd,972-303-6511
All Nations Discipleship Church,7100 Harps Mill Rd,(919) 616-9774
"All Nations Church, Henrietta",990 Pinnacle Rd,585-334-4766
All Nations Evangelical Church,1550 Havana,(720) 398-1873
"All Nations Church, Fort Worth",4101 Ferguson Dr Apt 115,(817) 600-9907
"All Nations Church, Brooklyn",251 12 Street,718-982-8348
All Nations Church of Gardena,19950 Mariner Ave,(408) 854-0466
All Nations Church North Carolina,3830 Perennial Terrace Dr,(980) 382-2303
All Nations Church – Boston,14 Indiana Avenue,857-233-6813
All Nations Church,3614 Drake Ave SW,(256) 539-3729
All Nations Church,767 N Castledale Ave,(520) 610-7255
All Nations Baptist Church,6670 Vaughn Road,(256) 679-6393
All Nations Church,7609 N State Route 9,816-309-2329
All Nations Baptist Church,201 Biltmore Rd,
All Nations Baptist Church,11318 Flallon Ave,(562) 929-6952
All Nations Baptist Church,4105 Westerville Road,(614) 446-8804
All Nations Baptist Church,324 South 9th,(903) 253-3511
All Nations Baptist Church,,(580) 357-3008
All Nations Baptist Church,302 Honor Heights,
All Nations,9130 Baileywick Rd,(919) 422-7787
All Nations,120 S. 6th Street,(918) 652-1525
All Nations,301 S Davidson St,(704) 332-9930
"All Around Cowboy Church of Jewett, TX",1181 FM 1146,903-626-7676
"Alive Fellowship Church, El Paso",5505 Will Ruth Ave,(915) 539-1781
Allen Baptist Church,5533 Us Highway 79 N,(731) 772-3930
Allegheny Baptist Church,3221 Allegheny Loop Rd,(865) 856-8999
Alleghany Baptist Church,416 Alleghany St,540-951-1184
Allaso Ranch Church,2302 Private Road 7850,(903) 769-7300
All-nations Baptist Church,590 W South Boundary St Fbc Perrysburg,
Allansville Baptist Church,1270 Red River Rd,(859) 771-7056
Allardt First Baptist Church,1478 Pennsylvania Ave,(931) 879-6232
"All Welcome Christian Church, Houston",5026 Langley Rd Bldg B,281-459-9683
All Tribes Baptist Chapel,1056 Pinewood DR,(510) 797-3221
All Saints Church,112 Lincoln Ave 515,(570) 765-8621
All Saints Baptist Church,4260 W Page Blvd,314-531-2094
All Peoples Fellowship,130 Shawnee Dr,(630) 280-8046
All Peoples Community Church,4500 Dixie Hill Rd,(202) 596-5556
Alive Church,3213 Bellas Artes Cir,(925) 786-8240
Alive Baptist Church,15602 SW 63rd Ter,(786) 503-9916
All Points Church at Hudson,7694 Forbush Circle,(330) 247-8955
"Aliento Divino, Austin",1000 Payton Gin Rd Ste M,(512) 586-3443
Alief Baptist Church,906 Avenue A,281-391-6894
Alicia Baptist Church,160 Vine St,
Aliceville First Baptist Church,323 Broad St NW,(205) 373-8151
"Alice Drive, Pocalla Campus",65 Masters Dr,(803) 481-5330
"Alice Drive, Bishopville Campus",397 Chappell Dr,
Alice Drive Baptist Church,1305 Loring Mill Rd,803-905-5200
Alice Bell Baptist Church,3305 Alice Bell Rd,(865) 522-0136
Aliante Community Baptist Church,7394 N Aliante Pkwy,702-354-3712
Algoma,1037 Algoma Rd,(662) 419-6266
Alford Heights Baptist Church,235 Byles St,(318) 256-5400
Alford Baptist Church,1764 Carolina St,(850) 573-3249
Alfa Y Omega Misi√≥n Bautista,PO BOX 779,
Alfalfa Baptist Church,23082 State Hwy 58,(580) 637-2530
Alfa y Omega Baptist Church,1938 Maple St. Suites F & G,
Alexis Baptist Church,870 County Road 685,
Alexis Baptist Church,118 Alexis Church Rd,(704) 263-2301
Alexandria Korean Baptist Church,1801 Construction Rd,(318) 787-5973
Alexandria Bay Baptist Church,41 Bolton Ave,315-482-3426
Alexandria First Baptist Church,101 Locust St,(615) 529-2674
Alexandria Baptist Church,175 Stadium Dr,(256) 525-6543
Alexandria Baptist Church,124 S Mulberry St,660-754-5036
All Peoples Church,3041 4th Ave S,(805) 404-3292
All People Unity Baptist Church,12226 2nd St,(909) 534-0843
All People Mission Church,12471 Paseo Cerro,(808) 250-1784
All People Mission Church,620 Waipa Ln,808-845-2111
All Nations Prayer-Worship Center Studying The Scripture,5730 W Manchester Ave,(626) 502-0107
All Nations Winners Church,9962 Balboa Island,
All Nations Korean Baptist Mission,418 Bryn Athyn Blvd,(850) 862-4811
All Nations Jesus Community,1881 St John RD #37D,(714) 799-0777
All Nations Harvest Church,1334 Shoreview CT,(408) 313-0266
All Nations Fellowship of Dallas,2300 W Pioneer Dr,
Alliance Church,5825 34th St,806-799-7948
Alliance Baptist Mission,523 W Myrtle Beach Hwy,(843) 250-5679
Allheart Church,3824 N Shary Rd,956-585-4711
Alliance Baptist Church,8400 Park Vista Blvd.,817-427-4375
Allenville Baptist Church,175 N Emmons St,
Allensworth Christian Church,3765 Young Rd,(661) 849-3629
Allgood,4724 Old Hwy 75,
Allensville Baptist Church,1260 1st Ave,
Allens Chapel,90 Allens Chapel Rd,(803) 571-8752
Allens Creek,549 Allens Creek Rd,(828) 456-5959
Allendale First Baptist Church,259 Memorial Ave S,803-584-2318
"Allendale Baptist Church, Conroe",14535 Allendale Ln,936-231-1122
Allendale Baptist Church,1745 Ira Wright Rd,
Allendale Baptist Church,4650 Allendale Rd,940-692-8152
Allendale Baptist Church,2306 Main Street,
Allen’s Point Baptist Church,301 County Road 2775,903-378-7038
Allen Street Baptist Church,210 W Allen St,660-885-2127
Allen Memorial Baptist Church,6602 Allen Switch Rd NW,
Allen Memorial Baptist Church,1303 Snow Hill Road,410-742-2659
Allen Memorial,1222 Longbranch Rd,(704) 457-4044
Allen Heights Baptist Church,1309 E Main St,972-727-9136
"Allen Family of Faith, Wylie",802 Autumn Hill Dr,214-538-2197
Allen Grove Baptist Church,2170 Dawson Springs RD,
Allen Baptist Church,354 US Highway 23 South,(606) 949-1810
Altamaha Baptist Church,6622 Oglethorpe Rd,(912) 586-6780
Altamaha Baptist Church,8385 Nails Ferry Rd,(912) 367-1300
Alta Woods Baptist Church,168 Colonial Dr,601-372-8651
Alta Vista Baptist Church,10653 Prairie Ave,
Alta Canyon Baptist Church,11194 S 1000 E,801-572-0747
Alta Vista Baptist Church,2900 Spencer Hwy,713-943-9800
Alta Loma Community Baptist Church,9284 Baseline Rd,(909) 989-7982
Alston Baptist Church,136 Church St,(912) 594-6132
Alsup Baptist Church,435 County Road 625,(870) 919-5034
Alsile Baptist Church,3140 Alsile Rd,
Alsbury Baptist Church,500 NE ALSBURY BLVD,817-295-0134
Alpine First Baptist Church,7215 Shreveport Hwy,(318) 640-3812
Alpine First Baptist Church,#4 Country Rd 2055,928-339-4700
Alpine Bible Church,310 E State St,(801) 341-8789
"Alpine Baptist Church, Barnhart",3112 Grandview Pl,
Alpine Baptist Church,1441 County Road 101,(205) 755-5688
Alpine Baptist Church,4720 Stagg Rd,(423) 875-3522
Alpine Baptist Church,2981 Alpine Winterboro Rd,(256) 268-0511
Alpha y Omega 2,1800 South Blvd,(718) 772-2141
Alpha Worship Center,2020 Firedancer Lane,302-325-3930
Alpha Omega Urdu Church,1175 W 600 N,(801) 819-8862
Alpha Ministries International,405 GROVE AVE,(917) 207-2310
Alpha Baptist Church,240 S Schmidt Rd,(630) 378-4659
Alpha Baptist Church,182 Academy St,(229) 759-1007
Alpha & Omega Church,1308 GOLDER AVE,432-614-5580
Alpha & Omega Church,455 4th St S,(863) 455-9591
"Aloma Church Ministries, Inc.",1815 State Rd 436,(407) 671-6851
Aloha Nani Baptist Church,590 Farrington Hwy #524-286,(808) 220-6518
Alpena First Baptist Church,12111 Hwy 62 W,(870) 437-2238
Almyra First Baptist Church,201 South Leslie,(870) 992-3522
Almond,351 Watia Rd,(828) 488-4655
Almighty Word Ministries,1784 Presidential Cir (Crestwood/Intown Suites 2nd Flr Conf Rm),(678) 427-2933
Almighty Words of Life,7728 Gosbrook Ln,
Almeda Plaza Miss. Baptist Church,13924 Quention Dr,713-433-8450
Almighty Bhutanese Nepali Church,4297 Grays Market Dr,(614) 943-1692
Alma First Baptist Church,211 N Mountain Grove Rd,(479) 632-2020
Alma Baptist Church,178881 N 3021 Rd,(580) 444-2407
Alluwe Baptist Church,Highway 28,(918) 230-3530
Allons Baptist Church,2505 Celina Hwy,(931) 823-8613
Allison Baptist Church,9931 Allison Court,(817) 905-8959
"Allison Baptist Church, Decatur",CR2513,940-627-3385
Allison Avenue Baptist Church,5915 Allison Ave,513-868-0641
Alliance Community Fellowship,2185 GOLDEN HEIGHTS RD,817-439-0678
Alliance of Grace Haitian Baptist Church,1205 29th St,(407) 271-5292
Alva Baptist Church,4837 Chapel Hill Rd,(931) 624-7608
Alum Springs,131 Alum Springs Rd,(919) 778-4744
Alum Spring Baptist Church,11058 Dutch Hollow Rd,540-825-3820
Alum Rock Baptist Church of San Jose,2962 Story Rd,(408) 258-1237
Alum Creek,3857 Alum Creek Dr,614-491-1568
Altus Reformed Baptist Church,15258 S County Road 207,(808) 554-7878
Altus First Baptist Church,926 Carbon Plant Rd,(479) 468-3933
Altoona First Baptist Church,3050 Main St,(205) 589-6864
Altoona 1st Southern Baptist Church,903 N 4th St,(814) 312-3101
Altona Missionary Baptist Church,5827 US Highway 62,(270) 395-4342
Altona Baptist Church,12468 NE State Route Z,(816) 297-2076
Alton Baptist Church,5071 Harmony Rd,434-753-2952
Alton Baptist Church,1321 Bypass US-127 S,(502) 839-3487
Altoga Baptist Church,6594 Fm 1827,972-542-2727
Alto Baptist Church,2296 Highway 15,(318) 334-7777
Alto Baptist Church,210 B C Grant Rd,
Altman Memorial Baptist Church,8960 Veterans Pkwy,(706) 323-1505
Altizer Baptist Church,4201 Altizer Ave,304-522-4175
Altheimer First Baptist Church,209 W 6th St,(870) 766-4287
Altapass,3631 Altapass Hwy,(828) 765-0660
21st Century Mission Church,22116 SE 51st Pl,(206) 372-4300
21st Century Baptist Church,622 N Gilbert St,(912) 980-5427
1Church,426 Jackson Ave,713-261-7481
19th Ave. Japanese Baptist Church,1386 19th Ave,(415) 566-5344
18th Street Community Church,1416 18TH STREET,(814) 943-3650
180Turn Church,1379 Lees Chapel Rd,(336) 508-9807
180 Church of Battlefield,4032 W Lark Rd Ste A,(417) 920-7611
Acts Global Church,15 Orange Tree,(714) 886-7287
17th Street Church,946 W 17th St,(972) 986-7558
Acts Fellowship Church,600 Stansted Manor Dr,512-970-2757
Acts Community Church,2732 CHERRYBROOK LN,832-656-2924
Acts 2 Church,5045 Indian River Rd,757-523-9802
"Acts 2 Church, Inc.",PO Box 576,
Acton Baptist Church,3500 FALL CREEK HWY,817-326-4693
Abundant Life Missionary Baptist Church,4800 Elvis Presley Blvd,(901) 363-2640
Abbs Valley,125 Lee Street,
Abees Grove,654 Abees Grove Church Rd,(828) 874-2515
A New Beginning,4620 Pelham Heights Road,(205) 632-3758
A New Beginning Community Baptist,734 SW 35th St,210-436-4000
411 Chapel Baptist Church,314 Hill St,(423) 442-9646
40th Street Baptist Church,6020 N 40th St,(813) 237-3962
4 Points Church,2355 Highway 101 S Ste G,(864) 606-3600
4 C Fellowship,1112 W. Parker Road,469-360-7651
3Circle Church- Daphne Campus,10080 County Road 64,(251) 990-3112
3rd Coast Church,2420 Harborwood Ct,(832) 444-1849
3Circle Church (Main Campus),10274 State Highway 104,(251) 990-3112
3405 Campus,10768 CR 3405,903-852-6711
3Circle Church Midtown,150 S Sage Ave,(251) 479-4593
38th Avenue Baptist Church,419 N 38th Ave,601-264-3897
300 Church,111 E Liberty St,302-398-3373
3:18 Fellowship,565 S Mount Juliet Rd Holiday Inn Express,(615) 804-0152
3-B Cowboy Church,2160 Old West Point Road,
3:18 Church,605 Cotton St,(817) 805-4250
3 Streams Church,105 E Baker St,(813) 777-8125
3 Crosses Cowboy Church,4038 Hwy 351,(325) 338-4287
3 Crosses Cowboy Church,312 School Ave,(870) 384-0182
3 Strands Community Church,1920 G St NW,703-244-2039
3 Circle Church- Thomasville Campus,200 Gunn St,(251) 990-3112
3 Circle Church of Robertsdale,21630 HWY 59,(251) 990-3112
2Rivers Church,88 Hubble Dr,(636) 329-1207
3 C Cowboy Fellowship,16258 Gooseneck Road,254-947-7211
2nd Mile Church,804 S Riverside Dr,(931) 332-6288
242 Fellowship,110 W 27th St,806-773-0768
A Local Gathering,130 Depot St,(423) 534-9321
A Church Family Network,3222 NW 108th St,(408) 425-8859
A Church Family Network,3222 NW 108th St,(408) 425-8859
A Breath of Praise Community Church-Brownwood,711 Bailey St,(512) 431-6685
903 Community Church,10271 Fm 2813,(903) 330-0779
"8th Day Baptist Church, Garland",3321 Broadway Blvd,(214) 289-2412
701 Korean Church,114 Perrymont Ave,(434) 386-7665
5th Avenue Fellowship,907 W Fifth Ave,(980) 253-8025
"5:29 Fellowship, Wylie",2201 Country Club Rd,(469) 653-7484
514 Church,5744 N Hamilton Rd,614-304-1611
5 Point Fellowship,1039 S Pendleton St,864-850-0580
5 Points Church,1610 Simonton Bridge Rd,(678) 522-5862
A Fresh Wind Church,1115 Milan Ave,440-984-7276
5 Nineteen Church,4095 Bristol Dr,(409) 839-4423
5 Bridges Church,17495 Panama City Beach Pkwy,(850) 234-0488
4D Church,1515 Clermont Rd,(919) 544-1347
4LIFE Worship,439 South Main Street,937-479-4479
4Cs Cowboy Church,3343 OLD HIGHWAY RD,(817) 999-7692
48th St Mount Pleasant Baptist Church,5539 Vine St,215-474-4906
47th Street Baptist Church,2105 N 47th St,913-596-1286
412 Fellowship,1950 Hwy 412 East,
5 Eleven Church,4150 W Eau Gallie Blvd,(321) 432-0221
Abbott’s Creek,2817 Abbotts Creek Church Rd,(336) 869-8410
Abbottsburg,13825 Twisted Hickory Rd,(910) 874-1233
"Abbott Baptist Church, Abbott",104 Borden St,(254) 709-0188
Abbott Baptist Church,28127 Highway 71 North,(479) 252-0775
Abbeville First Baptist Church,100 Columbia Rd,(334) 585-2367
Abbie,11190 6th St,
Abbeville First Baptist Church,15 E Long St,662-234-3486
Abbeville First Baptist Church,307 N Main St,864-366-2597
Abba’s House,1349 SW South Macedo Blvd,(954) 695-2292
Abba’s House,5208 Hixson Pike,(423) 877-6462
Abba Baptist Church,153 Abba Church Rd,
Abanda,16131 AL Highway 77,
Aaron’s Creek Baptist,1066 Aarons Creek Rd,(336) 213-2499
A’Neway Baptist Church,488 Allenville Rd,(229) 560-2211
A Seat At the Table (ASATT) Church,6300 Westpark Dr Ste 310A,(832) 598-8374
Aaron,280 Old NC Highway 181,
A Place To Talk,1546 Brookford Church Rd,(828) 855-0224
A Prayer Away,1045 W Pima St,(602) 908-8964
A Safe Place Christian Center,4025 Interwood N Pkwy,(713) 478-2589
Abiding Missionary Baptist Church,14145 Bridgeport Rd,(713) 433-2971
A New Direction Baptist Church,20007 Hanna Nash Rd,(281) 832-9067
A Path of Grace Baptist Church,277 Lake Rd,
A New Chosen Life Fellowship,406 Fitch Avenue,(432) 212-1156
Abiding Love Baptist Church,24300 E State Route EE,
Abiding Grace Community Church,13301 Old Richmond Rd,832-452-6025
Abiding Love Baptist Church,8207 E Houston Rd,713-631-2137
Abiding Grace Christian Church,20841 Johnson St Ste 103,(954) 647-4068
Abiding Fellowship Christian Church,3218 Quitman St,(832) 549-0751
Abide in Christ Church,3114 Old Denton Rd,(817) 897-1652
Abiding Faith Baptist Church,15376 Fondren Road,281-437-9595
Abiding Faith Baptist Church,8203 John Martin Road,281-421-4526
Abide Church,1116 N 20th Ave,(509) 438-3267
Abide Bible Church,403 Emmaus Church Rd,(252) 521-5231
Abide Christian Fellowship,5317 Cicero Drive,(361) 445-1611
Abhisek Nepali Church,7616 North 86th Ave,(402) 490-3251
Aberdeen Sovereign Grace Church,1410 North Kline Street,605-725-0555
Aberfoyle Baptist Church,7665 FM 512,903-496-2014
Abernant,13646 Lodge Road,
Aberdeen First Baptist Church,416 W 2nd,(870) 830-0972
Aberdeen Korean Baptist Church,3109 Churchville Rd,(502) 905-1707
Aberdeen First,700 N Sandhills Blvd,(910) 944-1421
Aberdeen First Baptist,310 W Commerce St,662-369-9366
Aberdeen Baptist Church,301 Cleveland St,719-542-5935
Aberdeen Baptist Church,733 US 52,(937) 795-2334
"Aberdeen Avenue Baptist Church, a Corporation",2733 ABERDEEN AVE,
Aberdeen Baptist Church,186 Leonard Oak Rd,(270) 526-2752
Abundant Hope Baptist Church,809 Barbara Street,304-638-6828
Abundant Harvest Church,8734 Windswept Lane,(713) 785-1756
Abundant Grace Church,205 W 8th,
Abundant Harvest Baptist Church,365 W King Ave,(904) 859-1859
Abundant Grace Bible Church,13111 Casimir Ave,(424) 402-6465
Abundant Grace Baptist Church,1143 Carbona Dr,972-803-3350
Abundant Faith Church of Gwinnett,4768 Centerville Hwy,(678) 281-4307
Abundant Grace Baptist Church,240 Hillstown Rd,(646) 923-5468
Abundant Faith Christian Church,7302 Conyers St,(678) 395-6324
"Abundant Faith Baptist Church, Humble",8906 Humble Westfield Rd,(346) 345-2198
Abundant Baptist Church,10700 E Bethany Dr Ste100,(720) 625-8558
Above and Beyond Fellowship Church,20498 Rhodes Rd,281-355-6161
Above the Hills Church,31 Stetson St Apt Salem 22,
Abounding Hope Baptist Church,112 W Highway 32,573-674-1004
Abney Memorial Baptist Church,210 Bypass 225,864-227-8601
Abounding Grace Ministries,664 Columbus Avenue,(603) 742-7550
Abney Baptist Church,5180 Bethune Rd,803-475-7272
Abner Creek Baptist Church,2461 Abner Creek Rd,864-877-6604
Abner Baptist Church,562 Andre Ln,864-574-3180
Abingdon Creek Baptist Church,187 Abingdon Rd,
Abishek Nepali Bhutanese,1695 Alona Drive Apt. 6,(614) 589-8874
Abilene Baptist Church,3917 Washington Rd,(706) 869-1774
Abingdon,361 W Main St,276-628-8126
Abiezer Baptist Church,469 Hagins St,(803) 366-5480
Abundant Life Korean Baptist Church,375 Benfield Road,410-852-9191
Abundant Life International Ministries,Conference Room 221 8350 Richmond Highway,540-368-8047
Abundant Life Korean,8600 W 91st Ter,(213) 369-3700
Abundant Life Fellowship Church,4473 Egypt Church Rd,(901) 275-5784
Abundant Life In Christ Church,897 Township Road 150,(440) 487-2110
Abundant Life Independence Campus,112 W 23rd St,(816) 554-8181
"Abundant Life Community Church, Inc.",10143 Royalton Rd Ste N&O,440-877-1202
Abundant Life Community Church,46 Frisco St,(870) 930-8146
Abundant Life Community Church,2433 Sycamore School Rd,(817) 297-0030
Abundant Life Church,22257 Hwy 34,(580) 782-3009
